z,u,w,x,m,j,i,j,o,i,l,n,z,w,g,a
u,f,i,j,i,o,e,m,s,e,c,u,t,r,n,t
d,r,h,w,m,l,b,r,m,g,f,c,u,q,k,r
m,h,s,r,v,f,z,j,m,k,n,k,v,g,i,r
k,e,u,s,m,m,h,i,u,l,k,s,i,g,s,g
k,f,x,s,k,h,z,q,r,w,o,i,q,g,b,m
b,b,f,y,a,p,q,e,d,x,z,a,p,v,r,l
n,e,i,t,w,a,d,m,s,e,d,f,u,n,g,j
d,e,v,y,a,i,g,d,b,l,f,i,s,b,c,j
x,p,m,u,p,p,l,i,z,p,j,f,l,p,e,g
l,l,q,a,a,j,p,e,a,e,i,h,a,d,x,d
c,n,g,p,o,r,t,b,w,d,y,e,q,y,u,s
u,k,y,y,i,x,u,q,u,o,a,w,i,d,n,j
k,b,v,k,s,h,f,f,g,j,b,l,p,h,e,p
m,p,h,i,l,s,x,m,t,s,m,m,n,i,b,l
i,d,q,r,q,v,s,p,e,x,m,n,q,e,c,h
